Actual,Predicted
219.0,139.54755840379605
70.0,179.51720835342778
202.0,134.03875571890114
230.0,291.4170292522084
111.0,123.78965872239606
84.0,92.1723465010504
242.0,258.23238898921295
272.0,181.33732057060732
94.0,90.22411310941465
96.0,108.63375858007926
94.0,94.13865743638848
252.0,168.43486357975482
99.0,53.504788796095525
297.0,206.63081659296432
135.0,100.12925868961605
67.0,130.6665708505271
295.0,219.5307149918258
264.0,250.78032340333363
170.0,196.36883460186397
275.0,218.5751181482179
310.0,207.35050181974754
64.0,88.48340941420317
128.0,70.4328591737893
232.0,188.95914235039012
129.0,154.8868161968979
118.0,159.36170121791903
263.0,188.3126336269756
77.0,180.39094032857133
48.0,47.990465608700134
107.0,108.97453871427211
140.0,174.77897632897367
113.0,86.36406655640141
90.0,132.9576121467635
164.0,184.53819482628649
180.0,173.8322091133901
233.0,190.35858491915613
42.0,124.41561760139219
84.0,119.65110656071289
172.0,147.95168682418492
63.0,59.05405241472806
48.0,71.62331856151582
108.0,107.68284703885514
156.0,165.45365458042073
168.0,155.0097593105135
90.0,171.0479909563819
52.0,61.457613561017865
200.0,71.66672580728219
87.0,114.96732205941946
90.0,51.57975523042384
258.0,167.5759952801152
136.0,152.52291954830008
158.0,62.955685152252585
69.0,103.49741722264699
72.0,109.20751488540833
171.0,175.64118425766677
95.0,154.60296241811295
72.0,94.41704365715884
151.0,210.7420914473924
168.0,120.25662049594231
60.0,77.61585398627129
122.0,187.93203995287394
52.0,206.4933747378822
187.0,140.63167075673576
102.0,105.59678022893412
214.0,130.70432535999666
248.0,202.18534536671854
181.0,171.13039500812144
110.0,164.9142304726883
140.0,124.72472568780728
202.0,144.81030894117256
101.0,181.99635451907648
222.0,199.41369641711748
281.0,234.21436187590203
61.0,145.95665512205622
89.0,79.86703276235608
91.0,157.36941274964423
186.0,192.74412541087818
220.0,208.89814031629624
237.0,158.58722554944777
233.0,206.02195855372946
68.0,107.47971674613467
190.0,140.93598906417046
96.0,54.82129331926052
72.0,55.92573194711963
153.0,115.01180017858911
98.0,78.95584187520673
37.0,81.56087284620627
63.0,54.37997255644872
184.0,166.2543518032686
